BruteForce,instance_p01.txt,10,[70-127],-,-,-,0:00:06.087347,333,[63-127],5,-,-,
BruteForce,instance_p02.txt,10,[50-81-120],-,-,-,0:02:02.718839,376,[38-73-117],6,-,-,
BruteForce,instance_p03.txt,10,[31-37-48-152],-,-,-,0:19:56.077002,396,[29-31-44-150],6,-,-,
BruteForce,instance_p04.txt,10,[165],-,-,-,0:00:00.129163,309,[165],5,-,-,
BruteForce,instance_p05.txt,6,[65-85],-,-,-,0:00:00.062629,345,[65-80],4,-,-,
BruteForce,instance_p06.txt,10,[103-156],-,-,-,0:00:06.337967,452,[102-155],6,-,-,
RatiosortAndConvergeGreedy,instance_p01.txt,10,[70-127],-,-,-,0:00:00.016005,326.0,[54-126],5,-,-,
RatiosortAndConvergeGreedy,instance_p02.txt,10,[50-81-120],-,-,-,0:00:00.015996,326.0,[23-60-97],5,-,-,
RatiosortAndConvergeGreedy,instance_p03.txt,10,[31-37-48-152],-,-,-,0:00:00.020006,369.0,[23-31-29-135],6,-,-,
RatiosortAndConvergeGreedy,instance_p04.txt,10,[165],-,-,-,0:00:00.015995,309.0,[165],5,-,-,
RatiosortAndConvergeGreedy,instance_p05.txt,6,[65-85],-,-,-,0:00:00.016004,295.0,[65-60],4,-,-,
RatiosortAndConvergeGreedy,instance_p06.txt,10,[103-156],-,-,-,0:00:00.015626,423.0,[100-120],7,-,-,
